comune,tipo_contratto,prezzo,locali,superficie,url_annuncio,data_scraping,zona,macroarea,prezzo_num,superficie_num,locali_num,prezzo_mq,valido
Frasso Sabino,vendita,€ 27.000,,45 m²,https://www.immobiliare.it/annunci/125020375/,2026-06-09,,Bassa Sabina,27000.0,45.0,,600.0,1
Frasso Sabino,vendita,€ 69.000,2 locali,60 m²,https://www.immobiliare.it/annunci/118735341/,2026-06-09,,Bassa Sabina,69000.0,60.0,2.0,1150.0,1
Magliano Sabina,affitto,€ 420/mese,3 locali,65 m²,https://www.immobiliare.it/annunci/120744294/,2026-06-09,,Bassa Sabina,420.0,65.0,3.0,,1
Magliano Sabina,vendita,"da € 51.852,00",5 locali,160 m²,https://www.immobiliare.it/annunci/127745056/,2026-06-09,,Bassa Sabina,51852.0,160.0,5.0,324.08,0
Magliano Sabina,vendita,"€ 79.000€ 99.000(-20,2%)",4 locali,126 m²,https://www.immobiliare.it/annunci/129170842/,2026-06-09,,Bassa Sabina,79000.0,126.0,4.0,626.98,1
Magliano Sabina,vendita,€ 43.000,4 locali,90 m²,https://www.immobiliare.it/annunci/129227404/,2026-06-09,,Bassa Sabina,43000.0,90.0,4.0,477.78,0
Magliano Sabina,vendita,€ 49.000,5 locali,231 m²,https://www.immobiliare.it/annunci/125527187/,2026-06-09,,Bassa Sabina,49000.0,231.0,5.0,212.12,0
Magliano Sabina,vendita,€ 59.000,3 locali,95 m²,https://www.immobiliare.it/annunci/124108937/,2026-06-09,,Bassa Sabina,59000.0,95.0,3.0,621.05,1
Magliano Sabina,vendita,€ 189.000,5 locali,232 m²,https://www.immobiliare.it/annunci/125528675/,2026-06-09,,Bassa Sabina,189000.0,232.0,5.0,814.66,1
Magliano Sabina,vendita,€ 44.000,3 locali,95 m²,https://www.immobiliare.it/annunci/126665315/,2026-06-09,,Bassa Sabina,44000.0,95.0,3.0,463.16,0
Magliano Sabina,vendita,€ 23.000,2 locali,40 m²,https://www.immobiliare.it/annunci/113985193/,2026-06-09,,Bassa Sabina,23000.0,40.0,2.0,575.0,1
Magliano Sabina,vendita,€ 89.000,4 locali,110 m²,https://www.immobiliare.it/annunci/122786666/,2026-06-09,,Bassa Sabina,89000.0,110.0,4.0,809.09,1
Magliano Sabina,vendita,"da € 245.137,00",4 locali,287 m²,https://www.immobiliare.it/annunci/129376478/,2026-06-09,,Bassa Sabina,245137.0,287.0,4.0,854.14,0
Magliano Sabina,vendita,"da € 245.137,50",5+ locali,126 m²,https://www.immobiliare.it/annunci/129360898/,2026-06-09,,Bassa Sabina,245137.0,126.0,5.0,1945.53,0
Magliano Sabina,vendita,"da € 51.852,10",5+ locali,160 m²,https://www.immobiliare.it/annunci/125431885/,2026-06-09,,Bassa Sabina,51852.0,160.0,5.0,324.08,0
Magliano Sabina,vendita,€ 145.000,4 locali,150 m²,https://www.immobiliare.it/annunci/126866973/,2026-06-09,,Bassa Sabina,145000.0,150.0,4.0,966.67,1
Magliano Sabina,vendita,"da € 51.850,00",4 locali,212 m²,https://www.immobiliare.it/annunci/127532890/,2026-06-09,,Bassa Sabina,51850.0,212.0,4.0,244.58,0
Magliano Sabina,vendita,"da € 19.160,00",2 locali,98 m²,https://www.immobiliare.it/annunci/127532110/,2026-06-09,,Bassa Sabina,19160.0,98.0,2.0,195.51,0
Magliano Sabina,vendita,"da € 20.790,00",5+ locali,116 m²,https://www.immobiliare.it/annunci/127116887/,2026-06-09,,Bassa Sabina,20790.0,116.0,5.0,179.22,0
Magliano Sabina,vendita,"da € 30.520,00",3 locali,139 m²,https://www.immobiliare.it/annunci/127799560/,2026-06-09,,Bassa Sabina,30520.0,139.0,3.0,219.57,0
Magliano Sabina,vendita,€ 19.000,3 locali,40 m²,https://www.immobiliare.it/annunci/122517356/,2026-06-09,,Bassa Sabina,19000.0,40.0,3.0,475.0,0
Magliano Sabina,vendita,€ 110.000,5 locali,130 m²,https://www.immobiliare.it/annunci/127692140/,2026-06-09,,Bassa Sabina,110000.0,130.0,5.0,846.15,1
Magliano Sabina,vendita,€ 85.000,5 locali,122 m²,https://www.immobiliare.it/annunci/123819229/,2026-06-09,,Bassa Sabina,85000.0,122.0,5.0,696.72,1
Magliano Sabina,vendita,"€ 35.000€ 40.000(-12,5%)",3 locali,49 m²,https://www.immobiliare.it/annunci/126532079/,2026-06-09,,Bassa Sabina,35000.0,49.0,3.0,714.29,1
